"brand","Марка","Классификация","Применение","Зарубежные_аналоги","Дополнение","Заменитель"
"03Н12Х5М3ТЛ","03Н12Х5М3ТЛ","Сталь для отливок легированная","высоконагруженные детали ответственного назначения со стенкой толщиной до 200 мм","Нет данных","",""
"03Н12Х5М3ТЮЛ","03Н12Х5М3ТЮЛ","Сталь для отливок легированная","высоконагруженные детали ответственного назначения со стенкой толщиной до 200 мм","Нет данных","",""
"07Х17Н16ТЛ","07Х17Н16ТЛ","Сталь для отливок легированная с особыми свойствами","литые фасонные детали ответственного назначения, к которым предъявляются требования по малой магнитной восприимчивости, высокой коррозионной стойкости и хорошей обрабатываемости резанием; сталь коррозионностойкая аустенитного класса","Нет данных","",""
"07Х18Н10Г2С2М2Л","07Х18Н10Г2С2М2Л","Сталь для отливок легированная с особыми свойствами","для изготовления отливок различного промышленного назначения. Сталь аустенитно-ферритного класса.","Нет данных","Сталь коррозионностойкая в ряде неорганических и органических кислот, более стойкая против межкристаллитной коррозии, чем сталь марки 15Х18Н10Г2С2М2Л.",""
"07Х18Н9Л","07Х18Н9Л","Сталь для отливок легированная с особыми свойствами","для деталей, жаростойких до 750 град. С; стойких против межкристаллитной коррозии","Известны","",""
"07Х21Н9С2МЛ","07Х21Н9С2МЛ","Сталь для отливок легированная с особыми свойствами","Изготовление фасонных отливок для авиационной промышленности.","Нет данных","",""
"07Х24Н8М2Д3Л","07Х24Н8М2Д3Л","Сталь для отливок легированная с особыми свойствами","Изготовление фасонных отливок для авиационной промышленности.","Нет данных","",""
"08Г2ДНФЛ","08Г2ДНФЛ","Сталь для отливок легированная с особыми свойствами","для крупногабаритных корпусных деталей; верхних частей рам картеров, постелей подшипников, литых деталей экскаваторов большой грузоподъемности и других сваривающихся деталей повышенной прочности.","Нет данных","Сталь хладостойкая.",""
"08ГДНФЛ","08ГДНФЛ","Сталь для отливок легированная","лито-сварные и комбинированные конструкции, ответственные детали, к которым предъявляются требования высокой вязкости и достаточной прочности, работающие при температурах от —60 до 350 °С.","Нет данных","",""
"08Х12Н4ГСМЛ","08Х12Н4ГСМЛ","Сталь для отливок легированная с особыми свойствами","для изготовления отливок различного промышленного назначения; Сталь мартенситно-ферритного класса.","Нет данных","Сталь коррозионностойкая в воде, влажном паре, разбавленной азотной кислоте и слабых органических кислотах.",""
"08Х14Н5М2ДЛ","08Х14Н5М2ДЛ","Сталь для отливок легированная с особыми свойствами","Изготовление фасонных отливок для авиационной промышленности.","Нет данных","",""
"08Х14Н7МЛ","08Х14Н7МЛ","Сталь для отливок легированная с особыми свойствами","для коррозионно-стойких деталей, работающих при комнатных и низких (до -196 град.С) температурах; сталь коррозионностойкая аустенитно - мартенситного класса","Нет данных","",""
"08Х14НДЛ","08Х14НДЛ","Сталь для отливок легированная с особыми свойствами","детали, работающие в морской воде (гребные винты и др.); сталь мартенситного класса","Известны","Сталь коррозионностойкая в морской воде и атмосферных условиях. Коррозионная стойкость выше, чем у стали марок 15Х13Л и 20Х13Л.",""
"08Х15Н4ДМЛ","08Х15Н4ДМЛ","Сталь для отливок легированная с особыми свойствами","детали, работающие в морской воде; сталь коррозионностойкая аустенитно - мартенситного класса","Известны","",""
"08Х17Н34В5Т3Ю2Л","08Х17Н34В5Т3Ю2Л","Сталь для отливок легированная","для деталей, жаростойких при температуре до 1000 град.С","Нет данных","",""
"08Х17Н34В5Т3Ю2РЛ","08Х17Н34В5Т3Ю2РЛ","Сталь для отливок легированная с особыми свойствами","сопловые и рабочие лопатки газовых турбин, цельнолитые роторы и другие детали, работающие при температуре до 800 град.С; сталь аустенитного класса.","Нет данных","Сталь жаростойкая при температуре до 1000 град.С;",""
"09Х16Н4БЛ","09Х16Н4БЛ","Сталь для отливок легированная с особыми свойствами","для коррозионно-стойких деталей повышенной прочности для авиационной, химический и других отраслей промышленности; сталь мартенситного класса","Нет данных","Сталь коррозионностойкая. Высокопрочная при нормальной температуре, устойчива против окисления в атмосферных условиях при температуре до 500 град.С;",""
"09Х17Н3СЛ","09Х17Н3СЛ","Сталь для отливок легированная с особыми свойствами","для деталей повышенной прочности для авиационной, химической и других отраслей промышленности, работающих в средах средней агрессивности (азотная и слабые органические кислоты, растворы солей органических и неорганических кислот); сталь мартенситного класса","Нет данных","Сталь коррозионностойкая , высокопрочная при нормальной температуре.",""
"10Х14Н5М2Л","10Х14Н5М2Л","Сталь для отливок легированная с особыми свойствами","Изготовление фасонных отливок для авиационной промышленности.","Нет данных","",""
"10Х14НДЛ","10Х14НДЛ","Сталь для отливок легированная с особыми свойствами","для деталей, коррозионно-стойких в морской воде и атмосферных условиях(гребные винты и др.)","Нет данных","",""
"10Х17Н10Г4МБЛ","10Х17Н10Г4МБЛ","Сталь для отливок легированная с особыми свойствами","для коррозионно-стойких и жаропрочных деталей (литые детали энергоустановок)","Нет данных","",""
"10Х18Н11БЛ","10Х18Н11БЛ","Сталь для отливок легированная с особыми свойствами","для деталей, работающих при малых нагрузках; сталь жаропрочная до 800 град. С; нечувствительная к межкристаллитной коррозии, коррозионностойкая, аустенитного класса","Известны","",""
"10Х18Н3Г3Д2Л","10Х18Н3Г3Д2Л","Сталь для отливок легированная с особыми свойствами","для лопаток и сварных кавитационно-стойких деталей рабочей части гидротурбин, работающих при напорах, не превышающих 80 л/ч в сечениях до 300 мм; сталь аустенитно - ферритного класса","Нет данных","Сталь коррозионностойкая, кавитационностойкая, имеет повышенную стойкость от песчаной эрозии по сравнению со сталью марки 10Х12НДЛ.",""
"10Х18Н9БЛ","10Х18Н9БЛ","Сталь для отливок легированная с особыми свойствами","Изготовление фасонных отливок для авиационной промышленности.","Нет данных","",""
"10Х18Н9Л","10Х18Н9Л","Сталь для отливок легированная с особыми свойствами","арматура для химической промышленности, коллекторы выхлопных систем, детали печной арматуры, плиты для травильных корзин и другие детали, работающие при температуре до 400 °С.; сталь аустенитного класса","Известны","Сталь коррозионностойкая, жаропрочная, максимальная температура эксплуатации деталей до 750 °С. Сталь нестойкая в сернистых средах. При содержании углерода в стали не более 0,07 % стойкая против межкристаллитной коррозии.","14Х18Н4Г4Л"
"110Г13Л","110Г13Л","Сталь для отливок легированная с особыми свойствами","корпуса вихревых и шаровых мельниц, щеки и конуса дробилок, зубья и передние стенки ковшей экскаваторов, железнодорожные крестовины и др. тяжелонагруженные детали, работающие под действием статических и высоких динамических нагрузок и от которых требуется высокая износостойкость.Cталь аустенитного класса.","Известны","Сталь обладает высоким сопротивлением к износу при одновременном воздействии высоких давлений или ударных нагрузок.",""
"110Г13ФТЛ","110Г13ФТЛ","Сталь для отливок легированная с особыми свойствами","для корпусов вихревых и шаровых мельниц, щек дробилок, трамвайных и железнодорожных стрелок и крестовин, гусеничных траков, звездочек, зубьев ковшей экскаваторов и других деталей, работающих на ударный износ; деталей металлургического и горнообогатительного оборудования.Сталь аустенитного класса.","Нет данных","Сталь обладает высоким сопротивлением к ударно-абразивному изнашиванию, высокой хладостойкостью.",""
"110Г13Х2БРЛ","110Г13Х2БРЛ","Сталь для отливок легированная с особыми свойствами","для продукции с высоким сопротивлением износу при одновременном воздействии высоких давлений или ударных нагрузок; сталь аустенитного класса","Известны","",""
"110Г13ХБРЛ","110Г13ХБРЛ","Сталь для отливок легированная с особыми свойствами","для изготовления отливок зубьев ковшей экскаваторов, гусеничных звеньев, рабочих органов дробильного оборудования.","Нет данных","Сталь износостойкая, обладает высоким сопротивлением к износу при одновременном воздействии высоких давлений или ударных нагрузок.",""
"120Г10ФЛ","120Г10ФЛ","Сталь для отливок легированная с особыми свойствами","звенья гeсениц тракторов и другие детали, работающие в условиях абразивного износа; сталь аустенитного класса.","Нет данных","",""
"120Г13Х2БЛ","120Г13Х2БЛ","Сталь для отливок легированная","для деталей с высоким сопротивлением износу при одновременном воздействии высоких давлений или ударных нагрузок, от которых требуется высокая износостойкость.","Нет данных","",""
"12ДН2ФЛ","12ДН2ФЛ","Сталь для отливок легированная","лито-сварные и комбинированные конструкции, ответственные нагруженные детали, к которым предъявляются требования достаточной прочности и вязкости, работающие под действием статических и динамических нагрузок при температуре до 400 °С.","Нет данных","","08Н6Г4МЛ"
"12ДХН1МФЛ","12ДХН1МФЛ","Сталь для отливок легированная","сварные конструкции, ответственные нагруженные детали, к которым предъявляются требования прочности и достаточной вязкости, работающие под действием статических и динамических нагрузок","Известны","",""
"12Х18Н12БЛ","12Х18Н12БЛ","Сталь для отливок легированная с особыми свойствами","для литых деталей энергоустановок с длительным сроком работы при 600-650 град.С и ограниченным при 700 град.С ; сталь аустенитного класса, коррозионностойкая, жаропрочная до 650 град.С","Нет данных","",""
"12Х18Н12М3ТЛ","12Х18Н12М3ТЛ","Сталь для отливок легированная с особыми свойствами","для деталей, устойчивых при воздействии сернистой кипящей, фосфорной, муравьиной, уксусной и др. кислот, а также деталей, длительное время работающие под нагрузкой при температуре до 800 град.С; сталь коррозионностойкая аустенитного класса","Известны","",""
"12Х18Н9ТЛ","12Х18Н9ТЛ","Сталь для отливок легированная с особыми свойствами","различные детали машиностроения, работающие при температуре не выше 700 °С. Сталь жаростойкая до 750 °С, жаропрочная при температуре до 600 °С, коррозионностойкая, аустенитного класса","Известны","",""
"12Х19Н7Г2САЛ","12Х19Н7Г2САЛ","Сталь для отливок легированная с особыми свойствами","для изготовления отливок различного промышленного назначения. Сталь аустенитно-ферритного класса.","Нет данных","Сталь коррозионностойкая на воздухе, в азотной кислоте, очень разбавленной серной кислоте и слабых или разбавленных органических кислотах.",""
"12Х21Н5Г2САЛ","12Х21Н5Г2САЛ","Сталь для отливок легированная с особыми свойствами","для изготовления отливок различного промышленного назначения. Сталь аустенитно-ферритного класса.","Нет данных","Сталь коррозионностойкая на воздухе, в азотной кислоте, очень разбавленной серной кислоте и слабых или разбавленных органических кислотах.",""
"12Х21Н5Г2СЛ","12Х21Н5Г2СЛ","Сталь для отливок легированная с особыми свойствами","для изготовления отливок различного промышленного назначения; Сталь аустенитно-ферритного класса.","Известны","Сталь коррозионностойкая на воздухе, в азотной кислоте, очень разбавленной серной кислоте и слабых или разбавленных органических кислотах.",""
"12Х21Н5Г2СМ2Л","12Х21Н5Г2СМ2Л","Сталь для отливок легированная с особыми свойствами","для изготовления отливок различного промышленного назначения; Сталь аустенитно-ферритного класса.","Нет данных","Сталь коррозионностойкая в ряде неорганических и органических кислот.",""
"12Х21Н5Г2СТЛ","12Х21Н5Г2СТЛ","Сталь для отливок легированная с особыми свойствами","для изготовления отливок различного промышленного назначения; Сталь аустенитно-ферритного класса.","Известны","Сталь коррозионностойкая на воздухе, в азотной кислоте, очень разбавленной серной кислоте и слабых или разбавленных органических кислотах, более стойкая против межкристаллитной коррозии, чем сталь 10Х18Н9Л.",""
"12Х25Н5ТМФЛ","12Х25Н5ТМФЛ","Сталь для отливок легированная с особыми свойствами","для арматуры химической промышленности, деталей авиационной и других отраслей промышленности, жаростойких при температуре до 600 град.С, а также деталей, работающих под давлением до 30 МПа; сталь аустенитно - ферритного класса","Известны","Сталь коррозионностойкая, жаростойкая до 600°С",""
"12Х7Г3СЛ","12Х7Г3СЛ","Сталь для отливок легированная","ответственные высоконагруженные детали со стенкой толщиной до 100 мм, работающие в условиях статических и динамических нагрузок","Нет данных","",""
"12ХГФЛ","12ХГФЛ","Сталь для отливок легированная с особыми свойствами","для ответственных литых деталей тракторов, сварно-литых несущих конструкций.","Нет данных","Сталь хладостойкая.",""
"130Г14ХМФАЛ","130Г14ХМФАЛ","Сталь для отливок легированная с особыми свойствами","для изготовления отливок корпусов вихревых и шаровых мельниц, щек дробилок, трамвайных и железнодорожных стрелок и крестовин, гусеничных траков, звездочек, зубьев ковшей экскаваторов и других деталей, работающих на ударный износ. Сталь аустенитного класса.","Нет данных","Сталь обладает высоким сопротивлением к износу при одновременном воздействии высоких давлений или ударных нагрузок, высокой стойкостью против абразивного изнашивания, высокой хладостойкостью. Сталь сохраняет высокое значение ударной вязкости в упрочненном состоянии (в процессе эксплуатации деталей).",""
"13Х11Н2В2МФЛ","13Х11Н2В2МФЛ","Сталь для отливок легированная с особыми свойствами","Изготовление фасонных отливок для авиационной промышленности.","Нет данных","",""
"13Х14Н3В2ФРЛ","13Х14Н3В2ФРЛ","Сталь для отливок легированная с особыми свойствами","Изготовление фасонных отливок для авиационной промышленности.","Нет данных","",""
"13ХНДФТЛ","13ХНДФТЛ","Сталь для отливок легированная","сварные конструкции, ответственные нагруженные детали, к которым предъявляются требования достаточной прочности и вязкости, работающие под действием статических и динамических нагрузок при температуре до 500 град.","Известны","",""
"14Х17Н2Л","14Х17Н2Л","Сталь для отливок легированная с особыми свойствами","Изготовление фасонных отливок для авиационной промышленности.","Нет данных","",""
"14Х18Н4Г4Л","14Х18Н4Г4Л","Сталь для отливок легированная с особыми свойствами","различные детали (коллекторы выхлопных систем, детали печной арматуры и др), работающие при температуре до 400 °С; сталь аустенитно - мартенситного класса","Нет данных","Сталь коррозионностойкая; обладает большей, чем сталь марки 10Х18Н9Л, склонностью к межкристаллитной коррозии.",""
"14Х2ГМРЛ","14Х2ГМРЛ","Сталь для отливок легированная","для ответственных сварно-литых конструкций больших сечений карьерных и шагающих экскаваторов.","Нет данных","Сталь хладостойкая.",""
"15ГЛ","15ГЛ","Сталь для отливок легированная","для производства литых заготовок для инструмента","Нет данных","",""
"15ГНЛ","15ГНЛ","Сталь для отливок легированная","отливки, идущие на изготовление деталей, производимых предприятиями тяжелого и транспортного машиностроения и предназначенных для эксплуатации в условиях низких температур и высоких скоростей нагружения.","Известны","",""
"15Л","15Л","Сталь для отливок нелегированная","копровые бабы, блоки, ролики, корпусы, поводки, захваты, пильные рамы, детали сварно-литых конструкций с большим объемом сварки, плиты, подушки и другие неответственные детали, работающие под действием средних статических и динамических нагрузок.","Известны","","20Л"
"15Х13Л","15Х13Л","Сталь для отливок легированная с особыми свойствами","для деталей с повышенной пластичностью, подвергающихся ударным нагрузкам (турбинных лопаток, клапанов гидравлических прессов, арматуры крекинг-установок и др.) и изделий, подвергающихся действию относительно слабых агрессивных сред (атмосферных осадков, влажного пара, водных растворов солей органических кислот при комнатной температуре); сталь мартенсито - ферритного класса","Известны","Сталь коррозионностойкая в атмосферных условиях, в речной и водопроводной воде. Наивысшая коррозионная стойкость достигается термической обработкой и полировкой.",""
"15Х14НЛ","15Х14НЛ","Сталь для отливок легированная с особыми свойствами","для изготовления отливок различного промышленного назначения; сталь коррозионностойкая мартенситно-ферритного класса","Нет данных","Сталь коррозионностойкая в воде, влажном паре, разбавленной азотной кислоте и слабых органических кислотах; имеет повышенную стойкость против кавитации.",""
"15Х18Н10Г2С2М2Л","15Х18Н10Г2С2М2Л","Сталь для отливок легированная с особыми свойствами","для изготовления отливок различного промышленного назначения. Сталь аустенитно-ферритного класса.","Нет данных","Сталь коррозионностойкая в ряде неорганических и органических кислот.",""
"15Х18Н10Г2С2М2ТЛ","15Х18Н10Г2С2М2ТЛ","Сталь для отливок легированная с особыми свойствами","для изготовления отливок различного промышленного назначения. Сталь аустенитно-ферритного класса.","Нет данных","Сталь коррозионностойкая в ряде неорганических и органических кислот, более стойкая против межкристаллитной коррозии, чем сталь марки 15Х18Н10Г2С2М2Л.",""
"15Х18Н12С4Л","15Х18Н12С4Л","Сталь для отливок легированная с особыми свойствами","Изготовление фасонных отливок для авиационной промышленности.","Нет данных","",""
"15Х18Н12С4ТЮЛ","15Х18Н12С4ТЮЛ","Сталь для отливок легированная с особыми свойствами","Изготовление фасонных отливок для авиационной промышленности.","Нет данных","Внимание! По ОСТ 1 90090-79 материал 15Х18Н12С4Л также обозначается ЭИ654Л",""
"15Х18Н22В6М2Л","15Х18Н22В6М2Л","Сталь для отливок легированная с особыми свойствами","для деталей двигателей авиационной промышленности ( рабочие и сопловые лопатки газовых турбин и др.); сталь аустенитного класса.","Нет данных","Сталь жаростойкая при температуре до +1000 °С, жаропрочная при температуре до +800 °С.",""
"15Х18Н22В6М2РЛ","15Х18Н22В6М2РЛ","Сталь для отливок легированная с особыми свойствами","для деталей двигателей авиационной промышленности ( рабочие и сопловые лопатки газовых турбин и др.); сталь аустенитного класса.","Нет данных","Сталь жаростойкая при температуре до +1000 °С, жаропрочная при температуре до +800 °С.",""
